sentence1,sentence2,score
رجل يضع المقلاة في الفرن,امرأة تقطع بصلة,0.12
امرأة تجلس على مكتب.,امرأة تركب حمار,0.08
الأطباء ينقلون المريض على النقالة,طبيب يسرع مريض على النقالة,0.68
امرأة تعزف على الناي على المسرح.,المرأة تعزف على الناي,0.72
طفلين من الباندا يلعبان.,اثنين من الباندا يضعون معا.,0.6
طفل يضحك,طفل يضحك و يضحك,0.8
رجل يعزف على الجيتار.,فتى يعزف على البيانو.,0.24
رجل يطوي ورقة,امرأة تقطع فلفل.,0.12
ثلاث نساء يرقصن.,الرجل يرقص,0.32
القطط تلعب مع بعضها البعض.,قطتان تقاتلان بعضهما البعض,0.52
شخص يكتب.,شخص يكتب بقلم رصاص,0.72
هناك رجل يركض,رجل يركض على الطريق,0.7
المرأة تقوم بتدحرج العجينة,امرأة تطهو الطحين وتدحرج العجينة,0.75
امرأة تضيف التوابل على اللحم,المرأة تضيف السكر إلى اللحم.,0.55
امرأة تضيف الزيت على الأسماك,امرأة تصب الماء على الأسماك,0.45
صبي صغير يحمل غيتار.,صبي صغير يعزف على الجيتار.,0.55
الفهد يركض,الفهد يركض عبر الحقل.,0.76
الرجل يأكل البيتزا.,رجل يأكل شريحة بيتزا.,0.96
قرد أورانغوتان يقود حافلة,قرد يركب حافلة,0.72
رجل وامرأة يتحدثان في مطعم,رجل وامرأة يركبان دراجة,0.24
رجل يعزف على الجيتار.,رجل ينظف باب زجاجي,0.08
فتاة تغني وتعزف على الجيتار.,شاب يغني بينما يعزف على الجيتار.,0.48
فتاة تتواصل بلغة الإشارة,فتاة صغيرة تستخدم لغة الإشارة,0.79
امرأة تقوم بتمرينات الأثقال,امرأة تصفف شعرها,0.1
رجل يدخل في سيارة,رجل مسن يدخل في سيارة حمراء,0.75
كرة خضراء كبيرة تقلب البطاطا,كرة خضراء كبيرة تضرب البطاطا,0.8
القطة تعزف على لوحات المفاتيح.,القطة تعزف على البيانو.,0.6
كلبان يسبحان في بركة.,الكلاب تسبح في بركة.,0.84
الرجل استخدم مروحية لقطع البصل.,استخدم الرجل آلة لتقطيع البطاطا.,0.4
امرأة تقطيع توفو.,امرأة تقطع التوفو,1.0
قطيع من الغزلان يعبرون الشارع,قطيع من الكاريبو يعبر الطريق,0.6
الشخص يركب الحصان,رجل يركب حصاناً,0.76
شخص ما يطعم حيوان,شخص ما يعزف على البيانو.,0.0
أحدهم يقطّع الكعكة,أحدهم يركب حصاناً,0.0
شخص ما يخلط المكونات,أحدهم يخيط الأشياء,0.05
الدجاجة تنقر على فأر ميت,دجاجة تنقر فأر ميت,0.8
امرأة تحمل كينغارو,امرأة تلتقط كينغارو,0.65
رجل يلعب مع الضفادع,القطة تلعب بالكاميرا.,0.15
رجلين يتحدثان,رجلين يعزفان الجيتار.,0.3
رجل ينشر الزبدة على قطعة كبيرة من الخبز,رجل يدهن الزبدة على شريحة من خبز الثوم,0.7
رجل يركض عبر سلك عال,رجل يركض على الحبل,0.6
رجل يقص العشب,امرأة تقطع ليمونة,0.04
رجل يفتح الباب,رجل يعزف على الجيتار.,0.16
رجل يقطع البطاطا إلى قطع.,رجل يقطع البطاطا,0.84
المرأة تقطع الأخطبوط المطبوخ,امرأة تقطّع أخطبوطاً,0.76
رجل يطرق الألواح,كلب يركض في الماء.,0.08
رجل يرقص,رجل يأكل الخبز.,0.16
شخص ما يعزف على البيانو.,رجل يعزف على الجيتار.,0.24
ثعلبان يأكلان من طبق على فناء من الطوب,الثعالب تأكل من طبق,0.56
فتى يعزف على لوحة المفاتيح,فتى يعزف البيانو.,0.64
شخص يعزف على لوحة المفاتيح,شخص ما يعزف على لوحة المفاتيح.,1.0
رجل يطلق النار,رجل يبصق,0.0
أحدهم يقطع بصلة.,أحدهم يقشر البطاطا,0.2
رجل يسبح.,امرأة تقطع اللحم,0.0
رجل يعزف على الجيتار.,رجل يعزف على الجيتار الصوتي,0.75
امرأة تقطيع اليقطين.,امرأة تركب فيل,0.08
امرأة ترقص,امرأة تخبز العجينة,0.08
امرأة تكسر البيض في وعاء.,امرأة تضع طعاما على رف.,0.12
سيارة تتحرك عبر الطريق,هناك سيارة تسير على الطريق.,0.8
أحدهم يدهن المقلاة,(سميون) يستلقي.,0.08
رجل يعزف على الجيتار.,رجل يستنزف المعكرونة,0.08
امرأة تشرب الفودكا,امرأة تمارس الرياضة,0.08
امرأة تقطع اللحم إلى قطع.,امرأة تقطع بعض اللحم,0.96
رجل يغسل شريحة لحم,رجل يعزف على الجيتار.,0.12
رجل يبيع أشياء,رجل ينظف المنزل,0.16
رجل يقفز فوق حائط,رجل يقفز على جدار قصير,0.64
المتسابقون يتسابقون حول المسار,المتسابقون يتنافسون في سباق.,0.64
رجل يركل كرة القدم,رجل يخلط وعاء,0.12
امرأة تقلي شيئاً,امرأة تركب حصاناً,0.12
القطة تلعق القطة,امرأة تقطيع الخيار.,0.0
امرأة ترقص بالقرب من النار,امرأة تستحم,0.28
الرجل يقطع سمكة مفتوحة,رجل يقطع البطاطا,0.44
الزبدة تذوب في المقلاة,رجل يذوب الزبدة في مقلاة.,0.72
ثلاثة أولاد يرقصون.,الأطفال يرقصون,0.62
امرأة تلعب لعبة مع رجل,رجل يعزف البيانو.,0.12
الرجل يقود سيارة بيضاء.,رجل يعطي مقابلة.,0.08
رجل كان يقود سيارته,رجل يقود سيارة,0.85
سيارة تتراجع عن مساحة,سيارة تتراجع عن مسار مسدود,0.6
رجل يضع بعض الجبن على البيتزا,الرجل رش الجبن على البيتزا.,1.0
الفتى يعزف البيانو.,فتى يعزف البيانو.,1.0
الرجل عزف على غيتاره.,رجل يعزف على الجيتار.,0.75
رجل يركب حصاناً,رجل يعزف على لوحة المفاتيح,0.04
رجل يسير على الحبل,رجل يركب الـ (موباد),0.08
فتاة تعزف على الناي.,فرقة موسيقية تعزف على المسرح.,0.26
الناس ينزلون من القطار,مجموعة من الناس ينزلون من القطار,0.92
امرأة تخيط على آلة.,امرأة تخبز بعض اللحم,0.12
كلب ينظر إلى حمام السباحة,الكلب يسير حول بركة.,0.4
رجل يدهن قطعة من الخبز,رجل يضع الزبدة على الخبز,1.0
رجل يقطع الطماطم إلى قطع.,امرأة تقطع بعض الخضروات,0.36
ثلاث بنات مراهقات رقصن في الغرفة.,بعض الفتيات المراهقات يرقصن للكاميرا,0.48
أسد يسير.,أسد يتجول في القفص,0.48
رجل يطلق النار على سيارة,رجل يقطع البطاطا,0.08
هناك حصان أسود يركض في الجوار,الحصان يركض,0.84
إمرأة تشتري الروبيان,رجل يرقص تحت المطر,0.0
رجل يركب حصاناً,امرأة تغسل ثلاجة.,0.0
رجل يسير في طريق,رجل يسير عبر حبل ضيق,0.16
رجل يقطع البطاطا,امرأة تقطّع فاكهة جيلي بينو.,0.28
الكلب ينبح في الكرة,الكلب يسبح خلف كرة التنس,0.3
طفل يهرب من سمكة تتأرجح على عصا الصيد,طفل صغير يركض حول عصا الصيد,0.5
رجل يسير على طول طريق عبر البرية.,رجل يسير على الطريق,0.5
رجل مسن يتحدث على منصة.,رجل يلقي خطاباً على المنصة,0.7
رجل يركب حصاناً في حركة بطيئة,رجل يركب حصاناً,0.68
شخص ما يقطع بعض الجبن البوراتا.,الشخص يقطع الجبن,0.76
الرجل يطلق النار من بندقية آلية,رجل يطلق النار,0.76
رجل يسحق الثوم بظهر سكين.,امرأة تقطع اللحم بسكين.,0.3
إمرأة تقوم بتصفيف أظافرها بلوحة الزئبق.,امرأة تطعم طفلها من زجاجة.,0.1
رجل يركب لوح التزلج,امرأة تقطع البطاطا.,0.0
امرأة تستحم,رجل يركب حصان أبيض,0.0
رجل يرقص,رجل يركب حصاناً,0.16
رجل يجدف قارباً,رجل يطلق النار من مسدس,0.17
رجل يتأرجح من حبل متصل بالسقف,رجل يتأرجح على حبل,0.68
امرأة تقود حصاناً على الشاطئ,رجل يحمل رجل آخر على ظهره,0.08
رجل يحمل حيوان صغير في يده,رجل يتباهى بقرد صغير,0.35
شخص يطوي قطعة ورق مربعة.,رجل يطوي ورقة,0.65
شخص يُقلي اللحم في مقلاة.,شخص يحمل حشرة.,0.15
قرد شمبانزي يؤذي إمرأة,رجل يقود سيارة,0.0
المرأة تقشر الجمبري,الرجل يحمل ليمور,0.0
هناك حمار وحشيين يلعبان.,الزبرات تتشاجر,0.85
امرأة تقطع الزبدة,امرأة تقطيع توفو.,0.36
بعض الرجال يعزفون الجيتار,ثلاثة رجال يعزفون الجيتار ويغنون معاً.,0.64
رشّت الفيلة الماء على نفسها.,الفيلة ترش نفسها بالماء,0.72
كان هناك كلب يجلس على عداد المتجر.,الكلب يقف عند المنضدة.,0.52
أحدهم حفر حفرة في شريط من الخشب بمثقاب كهربائي,رجل يحفر حفرة في قطعة خشب,0.64
امرأة تقطع بعض الخضروات,المرأة تقطع الثوم,0.56
إن الدبور يحفر حفرة.,هناك خنزير يحفر في الأرض,0.92
امرأة تتزلج على الماء في بحيرة.,رجل يعزف على الناي.,0.0
فتاة تعزف على الكمان.,طفل يضحك و يضحك,0.05
طائرة هليكوبتر تهبط على مهبط للطائرات.,هليكوبتر هبطت,0.78
امرأة تقطع دجاجة,امرأة تقطع اللحم,0.55
امرأة تقطع خيارًا.,رجل يعزف على الجيتار.,0.0
امرأة تركب فيل أمام حشد من المعجبين,امرأة تركب فيل,0.6
جرو ينزلق للخلف على الأرض,الجرو يدفع نفسه للخلف,0.76
امرأة تقسم فصوص الثوم,امرأة تكسر رأس ثوم إلى دقيق.,0.92
كلب ينظر إلى حمام السباحة,كلب يسير على حافة بركة.,0.52
إمرأة تخلط علاج التجميل في كوب,امرأة تخلط كريم في كوب مع ملعقة.,0.72
رجل يرسم صورة,شخص يرسم,0.72
امرأة تقطف الطماطم,امرأة تصب الخبز في وعاء.,0.2
رجل ينظر إلى شاشة كمبيوتر,رجل يستخدم حاسوب محمول,0.55
الصبي يركب دراجة ثلاثية,امرأة تقود دراجة مائية,0.25
رجلين يتنافسان في سباق التدحرج,شخصان قلبا إطارات الجرار في سباق,0.55
شخص يقطع اللحم,شخص يركب ثور ميكانيكي,0.0
رجل يعزف على الكمان,امرأة تستخدم آلة خياطة,0.0
لقد زحف الطفل من خلال المدخل,طفل يزحف على الأرض,0.48
رجل يعزف على الكيبورد,شخص يعزف على البيانو,0.44
رجل يشم بيتزا اثنين,امرأة تطعم رجل,0.04
القرد يسحب ذيل الكلب,قرد يسخر من كلب في حديقة الحيوان,0.56
الكلب يرقد على ظهره على أرضية خشبية.,هناك كلب مستلقي على الأرض.,0.8
امرأة تقلي شيئاً في المقلاة.,رجل يعزف على غيتاره,0.0
رجل يضع التوابل في وعاء من الماء,الرجل أضاف التوابل إلى الماء في وعاء.,1.0
امرأة مسنة تصب الزيت في مقلاة.,رجل مقيد يضع في الماء,0.0
امرأة تقطع بصلة,امرأة تقطيع جزئيا في نصف البصل.,0.64
إمرأة التقطت الكنغر.,امرأة تحمل كينغارو,0.7
كلب يعض علبة,كلب يفتح علبة طعام,0.35
امرأة تنزع عظام سمكة,رجل يصطاد سمكة,0.25
رجل يقطف العشب,رجل يحطم الخرسانة,0.17
قطة تشاهد التلفاز.,رجل يقطع إجازة.,0.0
الولد عالق في باب بيت الكلب,طفل عالق في بيت كلب,0.75
الناس ينقلبون في حمام السباحة.,الرجال يسقطون في بركة,0.55
امرأة تسبح تحت الماء,امرأة تسبح.,0.76
رجل يعزف على الجيتار.,امرأة ترقص,0.04
طائرة تحلق في الهواء.,طائرة الخطوط الجوية الجنوب أفريقية تطير في السماء الزرقاء.,0.68
الدب يهرب من كلبين,الدب يقاتل الذئاب,0.28
امرأة ترتاح في طوف عائم,امرأة ترتاح في أنبوب داخلي,0.76
رجل يموت في غرفة العمليات,رجل يقبّل امرأة على المسرح,0.08
رجل يحمل ورقة,امرأة تشاهد التلفاز.,0.0
شخص يركب حصاناً,امرأة تقطيع البطاطا.,0.0
امرأة تقطع أخطبوطاً,رجل يعزف على الجيتار.,0.0
رجل يكسر جرار المياه,امرأة تقشر الثوم.,0.04
رجل يعزف على الجيتار.,امرأة تقطع الخضروات,0.0
فتاة تأكل كعكة.,رجل يقطع خيار.,0.0
لعبت الفتاة الصغيرة على العشب مع كلب وكرة.,طفل يلعب مع كلب وكرة,0.76
الناس يركبون ويتجديفون الطوافة,أربعة أشخاص يطفون على طوف.,0.45
قطعت السيدة البطاطا.,رجل يقطع البطاطا,0.48
لقد انفجر الصاروخ,لقد انفجر صاروخ,0.64
الكلب يلعب في الثلج.,كلب يلمس ذبابة في السجادة أمامه,0.32
امرأة ترقص مع نساء أخريات,امرأة تقطع الدجاج,0.08
فتى يدفع شاحنة,شخص يقطع الطماطم,0.0
فتى يقوم ببعض خطوات الرقص,فتى يسكب شيئاً من جرة,0.08
امرأة تفتح صودا وتشربها,امرأة تركب على فيل.,0.12
رجل يجمع أجزاء مكبرات الصوت,رجل يعزف على الجيتار.,0.2
كان الكلب يمشي على حافة البركة.,كلب يسير على طول بركة.,0.92
يتم وضع الزبدة في وعاء.,رجل يقطع الزبدة في وعاء خلط.,0.85
الراكون يأكلون,رجل يأكل,0.3
شخص ما سقط من على حصان.,رجل سقط من على حصانه,0.7
امرأة تقشر تفاحة,رجل يفتح عجلات على دراجة نارية,0.0
رجل يأخذ بعض دروس الرياضيات,رجل يغسل شريحة لحم,0.0
الحيوانات تلعب في الماء.,رجلين يلعبان لعبة الطاولة.,0.0
رجل يركب حصان ويقفز فوق العقبات,رجل يركل كرة القدم,0.07
شخص يقوم بخدع القلم الرصاص بيده,شخص يقطع الجزر إلى نصفين.,0.07
الشخص أشعل النار في الكاميرات,شخص يحرق الكاميرات,0.67
الرجل يقطع الشريط من الصندوق,رجل يفتح صندوق,0.87
رجل يصطاد السمك في النهر,رجل يغني بينما يمشي على الرصيف.,0.16
رجل يركب دراجة,امرأة ترقص في الشارع.,0.04
رجل يقوم بتمارين الضغط,امرأة تقطع بعض الأخطبوط.,0.0
رجل يعزف على الجيتار.,امرأة تقطع بعض لحم الخنزير,0.0
الصبي الصغير يغني ويعزف على الجيتار.,طفل يعزف على الجيتار.,0.56
إمرأة تغطّس وجهها,المرأة تضرب أصابعها على الطاولة.,0.16
امرأة تقشر البطاطا.,هناك أسد يتجول,0.0
امرأة تطلق النار من بندقية,رجل يقوم بأداء الحركات المثيرة,0.05
المرأة تضع القلادة على كتف الرجل,رجل يصب الماء على رأس طيار,0.1
امرأة عجوز تصافح رجل,رجل وامرأة يصافحون بعضهم,0.75
المرأة تتزلج على الماء,امرأة تستيقظ على البحيرة,0.35
الأشجار تنحني في العاصفة,تُصيب الأشجار رياح قوية جداً.,0.53
رجل وامرأة يركبان في سيارة,امرأة تقلي الجمبري,0.08
رجل يحرك غصن شجرة,المرأة تعزف الكمان.,0.0
رجل يعزف البيانو,امرأة تعزف الكمان.,0.2
شخص يسكب الزيت على المقلاة,شخص يقطع بصلة,0.16
الحيوان يأكل.,امرأة ترقص,0.0
المرأة تسير مع كلبها.,امرأة تمشي مع كلبها في الشارع,0.8
مجموعة من الناس تغني.,بعض الناس يغنون,1.0
القطة تشرب الحليب.,القطة تلعق من صحن من الحليب,0.88
فتاة تصنع جفن,امرأة تطبق ظلال العيون,0.4
رجلين يتشاجران,رجلين يقاتلان باستخدام شكل من أشكال الفنون القتالية,0.56
صرخ الضابط العسكري على المجندين.,ضابط يتحدث مع المجندين,0.5
الرجل يضع الدجاج في الحاوية,رجل يضع الطعام في صندوق,0.5
رجل يربط على آلة الكاتبة القصيرة,الرجل استخدم كاتب قصير,0.45
امرأة تضيف المعكرونة إلى وعاء من الماء.,امرأة تصنع المعكرونة,0.72
امرأة مستلقية على بطانية على صخرة وقراءة كتاب.,امرأة جالسة تغني أغنية وتعزف على الجيتار أيضاً,0.24
جروان يلعبان مع بعضهما البعض.,بعض الرجال يلعبون كرة القدم,0.04
رجل يركض في الحقل,رجل يتسلق حبل,0.2
رجل يعانق شخصاً ما,رجل يلتقط صورة,0.08
